region,tc,cres,csor,area,pop,alt,sea,pden,urb,d_fee,sample,organic,paper,glass,wood,metal,plastic,texile,wage
Emilia_Romagna,118.1999969482422,34.02999877929688,66.41999816894531,14.07999992370605,2883,1.0,1.0,79.81674194335938,2.0,1,1,22.20890942316312,4.363508425607245,3.592507782171697,2.269844129218256,0.4623170847672516,1.131815174117947,0.1122426769486778,9.438692092895508
Emilia_Romagna,228.0500030517578,49.52000045776367,44.13999938964844,34.43999862670898,4952,1.0,1.0,143.7863006591797,3.0,1,1,35.04090399677926,9.887817197216927,9.518352380127098,4.001796118940224,1.86096497029065,4.643622554643353,0.3514289967067007,9.510139465332031
Emilia_Romagna,268.010009765625,50.61000061035156,44.59999847412109,26.6200008392334,3895,1.0,1.0,146.3185577392578,3.0,1,1,37.37701000591853,11.99107868117863,6.653014233171338,1.31985873344e-05,0.7447245014870408,5.224834461928327,0.4493076993611884,8.891355514526367
Emilia_Romagna,199.0899963378906,41.11000061035156,40.43999862670898,84.30000305175781,7140,1.0,1.0,84.69750213623047,3.0,1,1,45.31047409372891,9.762877832589204,7.551380577039718,0.1485795808500472,0.7465398291033608,5.202530727029518,0.4000640759711001,9.433685302734377
Puglia,233.6399993896484,58.27000045776367,25.95000076293945,35.70000076293945,12193,1.0,1.0,341.5406188964844,2.0,0,0,0.4284396071085121,6.601569231282345,4.334883294329533,2.296730907130191,0.1031006631572511,5.12055509541571,0.2873866712618888,9.125560760498049
Emilia_Romagna,232.5099945068359,44.15999984741211,50.04999923706055,14.07999992370605,3003,1.0,0.0,27.71829605102539,3.0,1,1,38.6972046108825,6.625885222402099,7.254128660642757,2.47826614082e-05,0.661405848470369,4.625502487775076,0.931994475308862,9.502229690551758
Emilia_Romagna,215.4700012207031,45.90999984741211,45.81999969482422,43.06000137329102,7364,1.0,0.0,171.0171813964844,3.0,1,1,43.01515182849688,11.02987655364463,9.467007989679985,2.067240154068916,1.18557895282651,6.249406176483899,0.7627016789507585,9.543842315673828
Veneto,118.1999969482422,34.02999877929688,33.38999938964844,14.07999992370605,11793,1.0,1.0,76.66255187988281,2.0,0,1,19.71666947856517,9.407579887216189,10.69114845150585,1.757019928461393,1.613262674209134,4.014343568503666,0.5436035336239493,9.514799118041992
Liguria,118.1999969482422,35.52999877929688,92.48999786376952,2.069999933242798,2861,2.0,1.0,111.8811874389648,2.0,0,0,41.04534142023144,9.548915586350528,9.531023839144185,3.179968451314818,1.394076029628218,6.99708905134481,1.071123556673397,9.397198677062988
Veneto,82.83999633789062,26.65999984741211,31.81999969482422,42.33000183105469,5488,2.0,1.0,129.6479949951172,3.0,1,1,36.63024829367638,11.99021603289518,12.43712129082467,0.251501935068252,2.487485730690097,10.1845220787795,0.1874912017448362,9.454920768737791
Liguria,118.1999969482422,34.02999877929688,54.47000122070313,5.389999866485596,5154,2.0,1.0,111.8811874389648,2.0,0,0,17.2680618125862,10.39096360672539,7.692662630103716,4.13641502722495,1.250348200550822,6.970114444152293,0.2197233975389515,9.455523490905762
Veneto,115.9499969482422,37.02000045776367,50.06000137329102,66.83000183105469,10640,2.0,1.0,159.2099304199219,2.0,0,1,36.59508225256084,12.59552890252193,9.989282590394618,2.463581059852189,2.224820382126557,6.270527561477317,0.3662748626934525,9.583124160766602
Emilia_Romagna,211.8899993896484,44.66999816894531,40.86999893188477,14.07999992370605,6453,2.0,0.0,37.2274169921875,3.0,1,1,42.02771052278879,8.113354026359584,7.633585641396243,3.293220107057892,1.251781043543301,5.020049120415262,0.5697372498917536,9.575576782226564
Friuli_Venezia_Giulia,116.879997253418,63.72999954223633,38.25,85.80000305175781,1963,2.0,1.0,22.87878799438477,3.0,0,1,12.60988681358237,10.00029996400432,11.17565892092949,3.216614006319242,1.223853137623485,7.050653921529417,1.164760694620923,9.526180267333984
Friuli_Venezia_Giulia,122.1900024414063,52.25,54.7400016784668,29.17000007629395,13409,2.0,1.0,459.6846008300781,2.0,0,1,18.78986725871647,11.56846718522382,7.206824801689253,3.640659461716415,0.8683534025787137,5.756539035459047,0.6541269019433886,9.64500904083252
Veneto,118.1999969482422,34.02999877929688,96.5199966430664,96.40000152587892,2883,2.0,1.0,253.9315338134766,2.0,0,1,4.127034777268021,10.51381862651844,11.01105338255771,2.068956656850086,1.775943984335053,3.060307498219985,0.2090207917658199,9.661367416381836
Friuli_Venezia_Giulia,191.2700042724609,58.97000122070313,32.34999847412109,85.0999984741211,2883,2.0,1.0,111.8811874389648,1.0,0,1,2.912342141954837,10.5104929487032,5.562251513533242,3.55872502896929,0.9972003195059476,4.05335923651822,0.4308070059006842,9.794133186340332
Emilia_Romagna,208.3200073242188,46.68999862670898,44.45000076293945,14.07999992370605,9519,2.0,0.0,81.9332046508789,3.0,1,1,36.25379443118081,9.079043302977883,8.750661196014239,3.139382502489909,1.964836285484186,5.210772610520999,0.5966251602357908,9.560656547546388
Veneto,186.6900024414063,66.97000122070312,55.40000152587891,95.4499969482422,12689,2.0,1.0,132.938720703125,3.0,0,1,28.04634808696716,9.336036764412691,10.10515102148242,2.764026475624688,1.932556752387968,2.823496878756451,0.1639858942191638,9.486908912658691
